DataCenter,Instance,On-Demand,Reserved,Spot,vCPU,RAM,InterruptFrequency
eu-south-1,t4g.2xlarge,0.3072,0.1842,0.0308,8,32.0,10
eu-south-1,t4g.large,0.0768,0.0461,0.078,2,8.0,15
eu-south-1,t4g.small,0.0192,0.0115,0.0019,2,2.0,10
eu-west-2,t4g.2xlarge,0.3008,0.1808,0.01148,8,32.0,5
eu-west-2,t4g.large,0.0752,0.0452,0.0267,2,8.0,10
eu-west-2,t4g.small,0.0188,0.0112,0.0061,2,2.0,5
us-east-1,t4g.2xlarge,0.02688,0.1606,0.1135,8,32.0,15
us-east-1,t4g.large,0.0672,0.0402,0.0268,2,8.0,20
us-east-1,t4g.small,0.0168,0.01,0.009,2,2.0,5
us-west-1,t4g.2xlarge,0.32,0.1918,0.0849,8,32.0,10
us-west-1,t4g.large,0.08,0.048,0.0248,2,8.0,10
us-west-1,t4g.small,0.02,0.012,0.0061,2,2.0,5
ap-northeast-3,t4g.2xlarge,0.3482,0.2089,0.0415,8,32.0,10
ap-northeast-3,t4g.large,0.0879,0.0522,0.0298,2,8.0,15
ap-northeast-3,t4g.small,0.0218,0.013,0.0031,2,2.0,15
ap-south-1,t4g.2xlarge,0.1792,0.108,0.076,8,32.0,10
ap-south-1,t4g.large,0.0448,0.027,0.0211,2,8.0,15
ap-south-1,t4g.small,0.0112,0.0068,0.0049,2,2.0,5
